origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
BE,Belgium,ESRA North-West,SJ,Svalbard & Jan Mayen,ESRA North-West,1,0
BE,Belgium,ESRA North-West,SK,Slovakia,ESRA East,408,452
BE,Belgium,ESRA North-West,TR,Turkey,ESRA Mediterranean,5525,5475
BE,Belgium,ESRA North-West,UA,Ukraine,ESRA East,605,501
BG,Bulgaria,ESRA East,AL,Albania,ESRA East,8,11
BG,Bulgaria,ESRA East,AM,Armenia,Other Europe,32,30
BG,Bulgaria,ESRA East,AT,Austria,ESRA North-West,2318,2262
BG,Bulgaria,ESRA East,BA,Bosnia & Herzegovina,ESRA East,7,6
BG,Bulgaria,ESRA East,BE,Belgium,ESRA North-West,807,818
BG,Bulgaria,ESRA East,BG,Bulgaria,ESRA East,3380,3372
BG,Bulgaria,ESRA East,CH,Switzerland,ESRA North-West,307,464
BG,Bulgaria,ESRA East,CY,Cyprus,ESRA Mediterranean,325,358
BG,Bulgaria,ESRA East,CZ,Czechia,ESRA East,996,998
BG,Bulgaria,ESRA East,DE,Germany,ESRA North-West,5924,5790
BG,Bulgaria,ESRA East,DK,Denmark,ESRA North-West,244,294
BG,Bulgaria,ESRA East,EE,Estonia,Other Europe,79,80
BG,Bulgaria,ESRA East,ES,Spain,ESRA Mediterranean,1070,1039
BG,Bulgaria,ESRA East,FI,Finland,ESRA North-West,127,124
BG,Bulgaria,ESRA East,FR,France,ESRA North-West,961,1003
BG,Bulgaria,ESRA East,GB,United Kingdom,ESRA North-West,3328,3590
BG,Bulgaria,ESRA East,GE,Georgia,Other Europe,13,16
BG,Bulgaria,ESRA East,GR,Greece,ESRA Mediterranean,912,994
BG,Bulgaria,ESRA East,HR,Croatia,ESRA East,38,49
BG,Bulgaria,ESRA East,HU,Hungary,ESRA East,151,114
BG,Bulgaria,ESRA East,IE,Ireland,ESRA North-West,101,127
BG,Bulgaria,ESRA East,IT,Italy,ESRA Mediterranean,1657,1812
BG,Bulgaria,ESRA East,LT,Lithuania,Other Europe,106,91
BG,Bulgaria,ESRA East,LU,Luxembourg,ESRA North-West,105,84
BG,Bulgaria,ESRA East,LV,Latvia,Other Europe,116,102
BG,Bulgaria,ESRA East,MD,Moldova,ESRA East,17,9
BG,Bulgaria,ESRA East,MK,Macedonia,ESRA East,19,34
BG,Bulgaria,ESRA East,MT,Malta,ESRA Mediterranean,56,123
BG,Bulgaria,ESRA East,NL,Netherlands,ESRA North-West,866,836
BG,Bulgaria,ESRA East,NO,Norway,ESRA North-West,338,306
BG,Bulgaria,ESRA East,PL,Poland,ESRA East,1287,1511
BG,Bulgaria,ESRA East,PT,Portugal,ESRA Mediterranean,9,8
BG,Bulgaria,ESRA East,RO,Romania,ESRA East,1476,1105
BG,Bulgaria,ESRA East,RS,Serbia,ESRA East,521,1023
BG,Bulgaria,ESRA East,SE,Sweden,ESRA North-West,198,234
BG,Bulgaria,ESRA East,SI,Slovenia,ESRA East,19,11
BG,Bulgaria,ESRA East,SK,Slovakia,ESRA East,335,305
BG,Bulgaria,ESRA East,TR,Turkey,ESRA Mediterranean,1127,1371
BG,Bulgaria,ESRA East,UA,Ukraine,ESRA East,311,194
CH,Switzerland,ESRA North-West,AL,Albania,ESRA East,13,13
CH,Switzerland,ESRA North-West,AM,Armenia,Other Europe,3,9
CH,Switzerland,ESRA North-West,AT,Austria,ESRA North-West,9190,9335
CH,Switzerland,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,235,227
CH,Switzerland,ESRA North-West,BE,Belgium,ESRA North-West,5657,6115
CH,Switzerland,ESRA North-West,BG,Bulgaria,ESRA East,315,466
CH,Switzerland,ESRA North-West,CH,Switzerland,ESRA North-West,21396,21994
CH,Switzerland,ESRA North-West,CY,Cyprus,ESRA Mediterranean,506,447
CH,Switzerland,ESRA North-West,CZ,Czechia,ESRA East,2335,1842
CH,Switzerland,ESRA North-West,DE,Germany,ESRA North-West,38552,38233
CH,Switzerland,ESRA North-West,DK,Denmark,ESRA North-West,3303,3140
CH,Switzerland,ESRA North-West,EE,Estonia,Other Europe,30,34
CH,Switzerland,ESRA North-West,ES,Spain,ESRA Mediterranean,17222,17735
CH,Switzerland,ESRA North-West,FI,Finland,ESRA North-West,1737,2068
CH,Switzerland,ESRA North-West,FO,Faroe Islands,ESRA North-West,1,2
CH,Switzerland,ESRA North-West,FR,France,ESRA North-West,27125,25995
CH,Switzerland,ESRA North-West,GB,United Kingdom,ESRA North-West,30324,29664
CH,Switzerland,ESRA North-West,GE,Georgia,Other Europe,3,13
CH,Switzerland,ESRA North-West,GI,Gibraltar,Other Europe,28,26
CH,Switzerland,ESRA North-West,GR,Greece,ESRA Mediterranean,3726,4372
CH,Switzerland,ESRA North-West,HR,Croatia,ESRA East,1556,1819
CH,Switzerland,ESRA North-West,HU,Hungary,ESRA East,1564,1554
