origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
AT,Austria,ESRA North-West,DE,Germany,ESRA North-West,33590,33059,38609,41754,42811,44359,48850,51061,48160,48111,46996,43764,41402,42308,41965
AT,Austria,ESRA North-West,DK,Denmark,ESRA North-West,1934,2092,2389,2264,2532,2241,2253,2351,1866,2228,2310,2410,2295,2162,1638
AT,Austria,ESRA North-West,EE,Estonia,Other Europe,279,375,138,41,48,63,168,218,58,53,54,302,74,57,253
AT,Austria,ESRA North-West,ES,Spain,ESRA Mediterranean,3503,3570,3727,4095,4327,4955,5341,5593,4530,4863,5704,5789,5244,5778,6025
AT,Austria,ESRA North-West,FI,Finland,ESRA North-West,1118,1051,1133,1187,1151,1206,1262,1507,1345,1420,1424,849,827,858,868
AT,Austria,ESRA North-West,FO,Faroe Islands,ESRA North-West,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
AT,Austria,ESRA North-West,FR,France,ESRA North-West,6567,6488,6358,6356,8098,8079,8849,9084,7674,7826,7594,7656,6833,6679,6660
AT,Austria,ESRA North-West,GB,United Kingdom,ESRA North-West,6896,6755,7409,8660,8789,8538,8909,8640,7807,7280,7596,7307,6593,6984,7553
AT,Austria,ESRA North-West,GE,Georgia,Other Europe,207,202,223,215,239,283,326,280,249,241,117,114,113,121,128
AT,Austria,ESRA North-West,GI,Gibraltar,Other Europe,2,0,1,1,4,5,3,3,2,1,2,1,3,2,3
AT,Austria,ESRA North-West,GR,Greece,ESRA Mediterranean,3979,3823,4048,3892,3816,4129,4124,3905,3331,3213,2890,2732,3231,3557,3979
AT,Austria,ESRA North-West,HR,Croatia,ESRA East,2379,2738,2770,3252,3563,3672,3816,3890,3525,3355,3273,3133,2930,3001,3013
AT,Austria,ESRA North-West,HU,Hungary,ESRA East,1877,2132,1873,2398,1931,1950,1865,1872,1833,1875,1838,1848,1871,1915,1828
AT,Austria,ESRA North-West,IE,Ireland,ESRA North-West,364,423,592,653,643,795,814,807,637,557,539,534,545,504,485
AT,Austria,ESRA North-West,IT,Italy,ESRA Mediterranean,7496,7864,8741,11039,10908,11378,12477,11904,9115,9571,9766,9080,8690,9344,9007
AT,Austria,ESRA North-West,LT,Lithuania,Other Europe,302,366,372,444,594,415,398,430,392,400,404,418,401,399,406
AT,Austria,ESRA North-West,LU,Luxembourg,ESRA North-West,1086,1218,1218,1204,1271,1273,1079,1182,1005,988,979,968,994,1080,1130
AT,Austria,ESRA North-West,LV,Latvia,Other Europe,334,309,207,557,608,606,622,599,286,330,373,575,590,658,644
AT,Austria,ESRA North-West,MD,Moldova,ESRA East,205,210,563,736,455,496,541,545,544,511,479,377,502,528,598
AT,Austria,ESRA North-West,MK,Macedonia,ESRA East,514,583,620,512,576,568,632,629,569,594,590,598,614,604,607
AT,Austria,ESRA North-West,MT,Malta,ESRA Mediterranean,291,282,345,347,357,313,291,281,309,296,329,331,333,439,492
AT,Austria,ESRA North-West,NL,Netherlands,ESRA North-West,6016,5631,5444,4536,4120,3484,3756,4121,3732,3816,3961,3971,3908,3971,3966
AT,Austria,ESRA North-West,NO,Norway,ESRA North-West,454,645,499,390,709,1044,931,998,1076,1162,1145,1138,1191,1142,976
AT,Austria,ESRA North-West,PL,Poland,ESRA East,2924,2656,2879,3206,3129,2949,3200,3965,3489,3351,3651,3468,3116,2745,2686
AT,Austria,ESRA North-West,PT,Portugal,ESRA Mediterranean,214,212,287,443,312,361,372,456,360,234,367,477,485,579,704
AT,Austria,ESRA North-West,RO,Romania,ESRA East,1537,1790,1789,2138,2647,3248,3959,4574,4371,4668,4294,4657,3491,3434,3241
AT,Austria,ESRA North-West,RS,Serbia,ESRA East,1127,1349,1331,1837,2177,2359,2666,2896,2764,3309,3429,3969,3290,3139,2948
AT,Austria,ESRA North-West,SE,Sweden,ESRA North-West,1783,1742,1749,1777,2037,2507,2759,2826,2683,2683,2805,2068,1761,1786,1818
AT,Austria,ESRA North-West,SI,Slovenia,ESRA East,1355,1489,1701,2124,2603,2083,2023,2287,2050,1978,1821,1858,1444,1638,1385
AT,Austria,ESRA North-West,SJ,Svalbard & Jan Mayen,ESRA North-West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AT,Austria,ESRA North-West,SK,Slovakia,ESRA East,918,950,946,1200,1147,985,981,1119,980,864,850,886,881,890,856
AT,Austria,ESRA North-West,TR,Turkey,ESRA Mediterranean,3889,3816,3457,3988,4192,3626,3719,3879,3505,3949,4649,4649,5190,5300,5480
AT,Austria,ESRA North-West,UA,Ukraine,ESRA East,1423,1681,2040,2293,2678,3378,3797,4289,4029,3940,3850,3643,3511,2472,2372
BA,Bosnia & Herzegovina,ESRA East,AL,Albania,ESRA East,0,0,1,5,3,5,4,8,6,10,10,2,7,3,2
BA,Bosnia & Herzegovina,ESRA East,AM,Armenia,Other Europe,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BA,Bosnia & Herzegovina,ESRA East,AT,Austria,ESRA North-West,776,632,673,836,835,827,830,849,924,1023,806,762,714,692,685
BA,Bosnia & Herzegovina,ESRA East,BA,Bosnia & Herzegovina,ESRA East,200,303,162,210,277,775,452,526,561,265,426,399,424,514,232
BA,Bosnia & Herzegovina,ESRA East,BE,Belgium,ESRA North-West,5,2,7,10,11,6,9,3,12,4,9,13,16,16,10
BA,Bosnia & Herzegovina,ESRA East,BG,Bulgaria,ESRA East,4,9,3,20,13,7,9,12,11,9,6,12,5,7,5
BA,Bosnia & Herzegovina,ESRA East,CH,Switzerland,ESRA North-West,534,429,166,15,96,182,175,212,315,359,287,174,245,238,235
BA,Bosnia & Herzegovina,ESRA East,CY,Cyprus,ESRA Mediterranean,1,3,3,0,0,1,2,3,0,3,0,3,1,2,3
BA,Bosnia & Herzegovina,ESRA East,CZ,Czechia,ESRA East,0,4,3,3,188,298,19,11,43,7,11,9,9,5,10
BA,Bosnia & Herzegovina,ESRA East,DE,Germany,ESRA North-West,595,547,478,465,592,805,946,967,1083,847,697,680,647,767,959
BA,Bosnia & Herzegovina,ESRA East,DK,Denmark,ESRA North-West,34,29,62,76,43,9,4,4,71,94,84,103,114,109,26
BA,Bosnia & Herzegovina,ESRA East,EE,Estonia,Other Europe,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
BA,Bosnia & Herzegovina,ESRA East,ES,Spain,ESRA Mediterranean,64,14,1,5,3,5,4,13,6,13,10,10,4,5,8
BA,Bosnia & Herzegovina,ESRA East,FI,Finland,ESRA North-West,0,0,1,8,41,36,0,1,0,1,1,2,0,0,2
